visit,day_obs,band,split,source_pickle,source_bytes,detectors_to_select,shard_relpath
2026031500143,20260315,i,train,visits/visit_2026031500143.pkl,1097076026,128,shards/train/part-0000.npz
2026031500146,20260315,i,train,visits/visit_2026031500146.pkl,1092589086,128,shards/train/part-0000.npz
2026031500155,20260315,i,train,visits/visit_2026031500155.pkl,1099319472,128,shards/train/part-0000.npz
2026031500161,20260315,i,train,visits/visit_2026031500161.pkl,1098357828,128,shards/train/part-0000.npz
2026031500184,20260315,i,train,visits/visit_2026031500184.pkl,1106690867,128,shards/train/part-0000.npz
2026031500193,20260315,i,train,visits/visit_2026031500193.pkl,1102524455,128,shards/train/part-0000.npz
2026031500199,20260315,i,train,visits/visit_2026031500199.pkl,1110857320,128,shards/train/part-0000.npz
2026031500205,20260315,i,train,visits/visit_2026031500205.pkl,1109895825,128,shards/train/part-0000.npz
2026031500208,20260315,i,train,visits/visit_2026031500208.pkl,1103806293,128,shards/train/part-0000.npz
2026031500214,20260315,i,train,visits/visit_2026031500214.pkl,1110857308,128,shards/train/part-0000.npz
2026031500236,20260315,i,val,visits/visit_2026031500236.pkl,1121754129,128,shards/val/part-0016.npz
2026031500239,20260315,i,train,visits/visit_2026031500239.pkl,1115023747,128,shards/train/part-0000.npz
2026031500242,20260315,i,train,visits/visit_2026031500242.pkl,1117908031,128,shards/train/part-0000.npz
2026031500248,20260315,i,val,visits/visit_2026031500248.pkl,1117267038,128,shards/val/part-0016.npz
2026031500251,20260315,i,train,visits/visit_2026031500251.pkl,1123356611,128,shards/train/part-0000.npz
2026031500257,20260315,i,train,visits/visit_2026031500257.pkl,1118549023,128,shards/train/part-0000.npz
2026031500328,20260315,i,train,visits/visit_2026031500328.pkl,1122394991,128,shards/train/part-0000.npz
2026031600653,20260316,i,val,visits/visit_2026031600653.pkl,1118228540,128,shards/val/part-0016.npz
2026031600656,20260316,i,train,visits/visit_2026031600656.pkl,1118869687,128,shards/train/part-0000.npz
2026031600662,20260316,i,train,visits/visit_2026031600662.pkl,1112139122,128,shards/train/part-0001.npz
2026031600665,20260316,i,train,visits/visit_2026031600665.pkl,1117267033,128,shards/train/part-0001.npz
2026031600668,20260316,i,train,visits/visit_2026031600668.pkl,1120151663,128,shards/train/part-0001.npz
2026031600680,20260316,i,train,visits/visit_2026031600680.pkl,1113420922,128,shards/train/part-0001.npz
2026031600693,20260316,i,train,visits/visit_2026031600693.pkl,1116946536,128,shards/train/part-0001.npz
2026031600699,20260316,i,train,visits/visit_2026031600699.pkl,1117908195,128,shards/train/part-0001.npz
2026031600714,20260316,i,val,visits/visit_2026031600714.pkl,1119190171,128,shards/val/part-0016.npz
2026031600720,20260316,i,train,visits/visit_2026031600720.pkl,1115023752,128,shards/train/part-0001.npz
2026031600723,20260316,i,train,visits/visit_2026031600723.pkl,1108293143,128,shards/train/part-0001.npz
2026031600737,20260316,i,train,visits/visit_2026031600737.pkl,1115985058,128,shards/train/part-0001.npz
2026031600740,20260316,i,train,visits/visit_2026031600740.pkl,1114062262,128,shards/train/part-0001.npz
2026031600743,20260316,i,train,visits/visit_2026031600743.pkl,1115023571,128,shards/train/part-0001.npz
2026031600758,20260316,i,train,visits/visit_2026031600758.pkl,1111818774,128,shards/train/part-0001.npz
2026031600761,20260316,i,train,visits/visit_2026031600761.pkl,1110536643,128,shards/train/part-0001.npz
2026031600764,20260316,i,train,visits/visit_2026031600764.pkl,1109254662,128,shards/train/part-0001.npz
2026031700064,20260317,i,train,visits/visit_2026031700064.pkl,1120472158,128,shards/train/part-0001.npz
2026031700067,20260317,i,train,visits/visit_2026031700067.pkl,1116626221,128,shards/train/part-0001.npz
2026031700085,20260317,i,train,visits/visit_2026031700085.pkl,1119190007,128,shards/train/part-0002.npz
2026031700088,20260317,i,train,visits/visit_2026031700088.pkl,1119190018,128,shards/train/part-0002.npz
2026031700110,20260317,i,val,visits/visit_2026031700110.pkl,1091307108,128,shards/val/part-0016.npz
2026031700156,20260317,i,train,visits/visit_2026031700156.pkl,1100921961,128,shards/train/part-0002.npz
2026031700162,20260317,i,train,visits/visit_2026031700162.pkl,1113741746,128,shards/train/part-0002.npz
2026031700168,20260317,i,train,visits/visit_2026031700168.pkl,1115023745,128,shards/train/part-0002.npz
2026031700171,20260317,i,train,visits/visit_2026031700171.pkl,1110536830,128,shards/train/part-0002.npz
2026031700189,20260317,i,train,visits/visit_2026031700189.pkl,1112459785,128,shards/train/part-0002.npz
2026031700208,20260317,i,val,visits/visit_2026031700208.pkl,1122715617,128,shards/val/part-0016.npz
